date,cycling_mi
2019-09-18,22.1
2019-09-16,6.2
2019-09-15,28.3
2019-09-14,20.3
2019-09-13,18.5
2019-09-12,29.9
2019-09-11,10.8
2019-09-09,16.1
2019-09-08,11.1
2019-09-06,17.3
2019-09-05,16.8
2019-09-04,10.8
2019-09-03,26.5
2019-09-02,17.4
2019-08-30,18.4
2019-08-29,11.5
2019-08-28,11.2
2019-08-27,15.7
2019-08-26,14.6
2019-08-25,18.1
2019-08-23,17.0
2019-08-22,17.2
2019-08-21,17.1
2019-08-20,20.0
2019-08-19,24.1
2019-08-17,15.4
2019-08-13,9.2
2019-08-12,19.5
2019-08-11,11.4
2019-08-08,11.3
2019-08-07,11.0
2019-08-06,15.4
2019-08-05,12.2
2019-08-02,12.5
2019-08-01,18.1
2019-07-31,9.8
2019-07-30,15.2
2019-07-29,13.2
2019-07-25,15.4
2019-07-24,17.9
2019-07-22,24.4
2019-07-20,16.5
2019-07-19,23.6
2019-07-18,15.6
2019-07-17,12.6
2019-07-16,11.9
2019-07-15,11.1
2019-07-14,12.2
2019-07-12,21.1
2019-07-11,15.5
2019-07-10,16.7
2019-07-09,13.8
2019-07-08,18.6
2019-07-06,12.6
2019-07-05,18.0
2019-07-03,14.0
2019-07-02,15.4
2019-07-01,12.7
2019-06-29,11.3
2019-06-28,12.3
2019-06-27,9.8
2019-06-26,17.2
2019-06-25,15.4
2019-06-24,13.0
2019-06-23,7.0
2019-06-22,17.0
2019-06-21,22.1
2019-06-20,15.5
2019-06-19,13.5
2019-06-18,15.5
2019-06-17,12.8
2019-06-15,15.4
2019-06-14,20.1
2019-06-13,15.4
2019-06-12,16.1
2019-06-11,22.3
2019-06-10,15.3
2019-06-07,20.2
2019-06-06,14.9
2019-06-05,18.8
2019-06-04,17.3
2019-06-03,28.1
2019-06-02,14.6
2019-06-01,19.9
2019-05-31,25.4
2019-05-30,19.8
2019-05-29,21.8
2019-05-28,13.7
2019-05-24,20.3
2019-05-22,26.0
2019-05-20,15.6
2019-05-09,16.4
2019-05-08,10.6
2019-05-07,15.4
2019-05-04,17.9
2019-05-03,15.5
2019-05-02,19.9
2019-05-01,14.4
2019-04-30,21.2
2019-04-26,17.5
2019-04-25,11.4
2019-04-24,17.1
2019-04-23,15.5
2019-04-22,20.0
2019-04-21,12.5
2019-04-20,6.4
2019-04-19,20.1
2019-04-18,15.4
2019-04-17,11.8
2019-04-16,11.1
2019-04-15,10.5
2019-04-14,17.1
2019-04-11,12.5
2019-03-31,15.4
2019-03-30,25.4
2019-03-29,13.3
2019-03-28,17.9
2019-03-26,13.3
2019-03-21,21.9
2019-03-17,21.8
2019-03-16,6.9
2019-03-15,18.9
2019-03-14,15.2
2019-03-13,20.3
2019-03-12,11.5
2019-03-08,11.1
2019-02-28,6.2
2019-02-24,13.2
2019-02-22,18.3
2019-02-20,14.6
2019-02-19,18.3
2019-02-18,10.8
2019-02-17,19.2
2019-02-11,7.8
2019-02-06,10.1
2019-01-19,15.3
2019-01-07,12.6
2019-01-04,15.1
2019-01-02,6.2
2018-12-27,10.7
2018-12-23,13.2
2018-12-22,21.0
2018-12-11,12.3
2018-12-06,12.6
2018-12-02,20.1
2018-11-30,15.6
2018-11-20,16.0
2018-11-18,11.1
2018-11-14,12.6
2018-11-12,14.1
2018-11-11,15.1
2018-11-05,21.4
2018-11-04,19.6
2018-11-02,2.5
2018-10-30,13.0
2018-10-28,9.2
2018-10-25,18.6
2018-10-24,17.4
2018-10-23,15.2
2018-10-18,10.0
2018-10-16,15.0
2018-10-15,18.7
2018-10-14,15.2
2018-10-12,40.0
2018-10-11,18.0
2018-10-10,15.2
2018-10-09,10.2
2018-10-07,13.2
2018-10-05,19.6
2018-10-04,15.0
2018-10-01,12.0
2018-09-27,20.6
2018-09-26,19.4
2018-09-25,24.2
2018-09-24,16.2
2018-09-23,15.3
2018-09-13,20.7
2018-09-12,15.3
2018-09-11,11.1
2018-09-09,23.5
2018-09-08,25.6
2018-09-07,24.7
2018-09-06,16.3
2018-09-04,11.1
2018-09-03,10.3
2018-08-31,17.2
2018-08-30,10.9
2018-08-29,12.2
2018-08-28,12.1
2018-08-27,15.3
2018-08-25,22.0
2018-08-24,24.0
2018-08-19,13.2
2018-08-18,20.2
2018-08-17,18.3
2018-08-16,15.3
2018-08-12,12.5
2018-08-09,18.8
2018-08-08,23.8
2018-08-06,11.2
2018-08-05,11.2
2018-08-04,16.4
2018-08-02,11.4
2018-07-30,10.6
2018-07-29,13.0
2018-07-28,17.2
2018-07-27,15.3
2018-07-24,15.5
2018-07-22,17.8
2018-07-21,17.1
2018-07-16,15.4
2018-07-14,21.5
2018-07-13,15.5
2018-07-12,19.2
2018-07-11,16.4
2018-07-10,15.7
2018-07-09,20.1
2018-07-06,15.2
2018-07-05,15.6
2018-07-04,20.5
2018-07-03,16.2
2018-06-30,15.3
2018-06-29,15.8
2018-06-28,15.4
2018-06-27,11.3
2018-06-26,11.6
2018-06-24,35.9
2018-06-23,31.2
2018-06-22,13.2
2018-06-21,12.7
2018-06-20,33.0
2018-06-19,15.0
2018-06-18,15.4
2018-06-16,11.0
2018-06-15,26.4
2018-06-14,15.4
2018-06-12,15.3
2018-06-11,11.6
2018-06-08,18.3
2018-06-07,15.5
2018-06-05,15.3
2018-06-04,17.2
2018-06-03,15.3
2018-06-02,28.0
2018-06-01,20.3
2018-05-30,15.2
2018-05-29,16.3
2018-05-27,7.5
2018-05-26,13.0
2018-05-24,14.5
2018-05-20,15.1
2018-05-10,22.1
2018-05-09,21.0
2018-05-08,15.0
2018-05-07,13.0
2018-05-05,14.2
2018-05-04,19.6
2018-05-03,20.4
2018-05-02,21.5
2018-05-01,16.1
2018-04-30,16.4
2018-04-27,23.3
2018-04-26,19.2
2018-04-24,12.4
2018-04-20,15.2
2018-04-19,22.3
2018-04-15,7.8
2018-04-14,31.4
2018-04-13,19.0
2018-04-10,31.9
2018-04-09,22.6
2018-04-08,15.2
2018-04-03,16.1
2018-04-02,12.5
2018-04-01,21.4
2018-03-31,15.1
2018-03-30,14.1
2018-03-29,20.5
2018-03-28,9.9
2018-03-27,12.1
2018-03-26,16.8
2018-03-23,15.0
2018-03-14,4.0
2018-03-12,11.0
2018-03-11,12.9
2018-03-08,27.8
2018-03-07,22.0
2018-02-27,8.4
2018-02-25,21.0
2018-02-23,10.1
2018-02-21,14.6
2018-02-13,7.0
2018-02-12,11.1
2018-02-10,16.4
2018-02-09,13.6
2018-02-08,18.9
2018-02-04,20.3
2018-02-03,12.4
2018-02-02,15.4
2018-02-01,19.5
2018-01-31,11.7
2018-01-30,12.0
2018-01-28,5.5
2018-01-15,14.0
2018-11-12,16.2
2018-01-11,15.1
2018-01-04,12.3
2018-01-01,17.2
2017-12-31,13.2
2017-12-29,10.5
2017-12-27,10.9
2017-12-25,15.3
2017-12-21,13.0
2017-12-20,13.2
2017-12-19,11.9
2017-12-18,13.1
2017-12-17,23.0
2017-12-08,14.1
2017-12-07,15.5
2017-12-06,17.5
2017-12-03,17.5
2017-12-01,11.5
2017-11-27,9.7
2017-11-24,17.1
2017-11-22,18.0
2017-11-21,16.5
2017-11-20,12.6
2017-11-17,12.3
2017-11-15,19.0
2017-11-13,11.7
2017-11-11,12.3
2017-11-10,15.5
2017-11-07,11.7
2017-11-05,12.6
2017-11-01,12.5
2017-10-31,14.3
2017-10-30,15.5
2017-10-27,16.2
2017-10-25,10.3
2017-10-24,16.2
2017-10-23,12.0
2017-10-21,17.9
