2015-07-02,dane,weight,158.1
2015-07-02,dane,calories,2751
2015-07-02,dane,steps,18564
2013-09-09,dane,distance,6.97
2013-09-09,dane,weight,157.1
2013-09-09,dane,calories,2615
2013-09-09,dane,steps,14304
2013-09-09,dane,biking,16.5
2013-09-08,dane,distance,7.51
2013-09-08,dane,calories,2555
2013-09-08,dane,steps,15341
2013-02-27,dane,distance,5.19
2013-02-27,dane,weight,176.7
2013-02-27,dane,calories,2207
2013-02-27,dane,steps,10595
2013-02-27,dane,biking,10.0
2013-07-14,dane,distance,6.65
2013-07-14,dane,calories,2044
2013-07-14,dane,steps,13590
2013-07-15,dane,distance,6.38
2013-07-15,dane,calories,2095
2013-07-15,dane,steps,13040
2013-07-15,dane,biking,11.5
2013-07-16,dane,distance,4.14
2013-07-16,dane,weight,160
2013-07-16,dane,calories,1816
2013-07-16,dane,steps,8457
2013-01-02,dane,distance,4.72
2013-01-02,dane,weight,184.2
2013-01-02,dane,calories,2015
2013-01-02,dane,steps,9642
2013-01-02,dane,biking,10.0
2013-01-05,dane,distance,6.67
2013-01-05,dane,weight,184.5
2013-01-05,dane,calories,2209
2013-01-05,dane,steps,13624
2013-01-04,dane,distance,6.92
2013-01-04,dane,weight,183.9
2013-01-04,dane,calories,2125
2013-01-04,dane,steps,14136
2013-01-07,dane,distance,4.28
2013-01-07,dane,weight,184.2
2013-01-07,dane,calories,2044
2013-01-07,dane,steps,8749
2013-01-07,dane,biking,16.1
2013-07-13,dane,distance,4.64
2013-07-13,dane,weight,159.5
2013-07-13,dane,calories,1941
2013-07-13,dane,steps,9476
2013-01-09,dane,distance,4.76
2013-01-09,dane,weight,183.3
2013-01-09,dane,calories,2018
2013-01-09,dane,steps,9729
2013-01-08,dane,distance,5.61
2013-01-08,dane,weight,182.8
2013-01-08,dane,calories,2044
2013-01-08,dane,steps,11459
2013-01-08,dane,biking,6.0
2013-07-18,dane,distance,5
2013-07-18,dane,weight,157.7
2013-07-18,dane,calories,2063
2013-07-18,dane,steps,10220
2013-07-18,dane,biking,18.6
2013-07-19,dane,distance,8.27
2013-07-19,dane,weight,155.6
2013-07-19,dane,calories,2248
2013-07-19,dane,steps,16898
2013-07-19,dane,biking,10.0
2015-06-14,dane,distance,7.07
